Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
"A main AR is mandibular osteonecrosis",Recombinant insulin,Glucagon,Strontium ranelate,Alendronate,Glibenclamide,Option D,"Bisphosphonates (e.g., Alendronate) are associated with osteonecrosis of the jaw."
"Receptor and the corresponding tissue. Choose the correct pair:",Nicotinic N2 - Skeletal Muscle,Adrenergic A1 - Sweat glands,Adrenergic b2 - Heart,Muscarinic M2 - Sympathetic ganglia,Nicotinic N2 - Parasympathetic ganglia,Option E,"N2 (Nicotinic) receptors are located in the autonomic ganglia (Parasympathetic and Sympathetic) and adrenal medulla."
"Cardiogenic shock could be treated with...",Salbutamol B2 agonist,Ephedrine,Dobutamine B1 agonist,Phenylephrine or Imidazole,None is correct,Option C,"Cardiogenic shock: parenteral-IV Dobutamine (B1 agonist)"
"Could indirect adrenergic stimulants be used to treat CNS disorders like Attention Deficit Hyperactivity (ADHD) or Narcolepsy?",Yes but not these disorders,Methylphenidate is an option,No they act peripherally,Yes Methylphenidate is an example by modifying peripheral Cholinergic transmission,Yes combined with NSAIDS,Option B,"Attention deficit hyperactivity disorder (ADHD): Methylphenidate (psychostimulant)."
"It is useful to treat anaphylactic shock",Pseudoephedrine,Parenteral epinephrine,Phenylephrine,Oral epinephrine,Epinephrine inhaled,Option B,"Systemic allergic reaction (anaphylactic shock): Epinephrine parenteral."
"Asthma treatments are mainly...",b-agonists and anti-inflammatories,Bronchodilators and antitussives,Antihistamines,b-Blockers,Antihistaminics and expectorants,Option A,"Asthma treatment involves B2 agonists (Salbutamol) and Anti-inflammatory agents (Corticosteroids)."
"Neuroleptics MOA",Activate the CNS cholinergic pathways,Inhibit CNS dopaminergic pathways,Activate the release of serotonin,Activate dopamine receptors,Serotonin reuptake inhibition,Option B,"Neuroleptics (e.g., Phenothiazines, Butyrophenones) act as Dopaminergic antagonists."
"Buserelina...",Is an AGONIST of GnRH,A clinical use if the restoration of hormonal function,The target tissue is the hypophysis,Slowing the production of pituitary and sex hormones,All are correct,Option E,"Buserelin is a Synthetic GnRH AGONIST. It targets the hypophysis. Uses include restoration of hormonal function (low doses) or slowing production (chronic)."
"It is a Beta blocker adverse effect...",Tiredness,Hyperglycemia,Hepatomegaly,Tachycardia,Bronchodilation,Option A,"Beta-blockers (e.g., Propranolol) can cause tiredness/fatigue, bradycardia (not tachycardia), and bronchoconstriction (not bronchodilation)."
"Regarding the pharmacological interactions of Acetylsalicylic Acid (AAS), what is the specific consequence of concurrent administration with Methotrexate?",Decreased absorption of Methotrexate,Increased risk of thrombosis due to platelet aggregation,Increased toxicity of Methotrexate,Decreased hypoglycemic effect,Neutralization of the anti-inflammatory action,Option C,"AAS + Methotrexate -> increased toxicity of Methotrexate"
"Which constellation of symptoms is explicitly described as a potential result of fast Intravenous (IV) use of Metamizole?",Severe bronchoconstriction and anaphylactic shock,Facial flushing heat palpitations hypotension and nausea,Acute hepatic necrosis and jaundice,Reye's syndrome with acute encephalopathy,Gastrointestinal bleeding and duodenal ulcers,Option B,"Fast IV use can produce: facial flushing, heat, palpitations, hypotension and nausea."
"In the context of corticosteroid receptor affinity, which statement accurately characterizes Type II receptors?",They have affinity for both glucocorticoids and mineralocorticoids,They are exclusively located in the renal cortex,They have mineralocorticoid affinity exclusively,They have glucocorticoid affinity exclusively,They are responsible for the homeostasis of Na+ and K+,Option D,"Type II receptors, glucocorticoid affinity exclusively."
"What is the primary mechanism of action (MOA) of Clonidine that leads to its antihypertensive effect?",Direct blockade of alpha-1 receptors in vascular smooth muscle,Blockade of beta-1 receptors in the heart,Alpha-2 feedback inhibition of Norepinephrine (NA) release,Inhibition of Acetylcholinesterase increasing ACh,Direct activation of muscarinic M2 receptors,Option C,"Alpha 2 feedback - inhibition of NA release"
"Regarding the Adverse Reactions of Salicylates, which condition is a prohibited use of AAS in children due to the risk of acute encephalopathy?",Stevens-Johnson Syndrome,Reye's disease,Cushing's Syndrome,Addisonian Crisis,Myasthenia Gravis,Option B,"Reye's disease (acute encephalopathy), prohibited use of AAS in children."
"Which drug is an irreversible inhibitor of Acetylcholinesterase used as an insecticide, and what is its classification?",Atropine (Natural alkaloid),Parathion (Organophosphate inhibitor),Pilocarpine (Direct agonist),Tubocurarine (Nondepolarizing drug),Neostigmine (Quaternary carbamate),Option B,"Organophosphate inhibitors (Parathion; Malathion...), pro-drugs... Reduce acetylcholine degradation"
"What is the specific clinical indication for the use of Atropine in a pre-anesthetic setting?",To induce skeletal muscle relaxation for intubation,To prevent or recover from reflex syncope stimulating HR and reduce gland secretion,To treat malignant hyperthermia,To induce miosis and reduce intraocular pressure,To block neuromuscular transmission at the motor endplate,Option B,"Pre-anesthesic: prevent or recover from reflex syncope stimulating HR and reduce gland secretion (Atropine injected)"
"Which specific risk is associated with Selective COX-2 inhibition compared to non-selective NSAIDs?",High risk of serious cardiovascular accidents,Increased risk of gastrointestinal mucosal damage,Risk of bronchospastic triad,Increased bleeding time due to irreversible platelet inhibition,High risk of agranulocytosis,Option A,"Selective COX-2 inhibition is related to a high risk of serious cardiovascular accidents."
"Identify the correct localization and function of the M2 muscarinic receptor according to the general pharmacology tables.",Exocrine glands (Stimulates secretion),CNS (Cognitive function),Heart-vagus nerve (Inhibits heart),Smooth muscle (Contraction),Sympathetic ganglia (Transmission),Option C,"M2 (Heart-vagus nerve)"
"When Acetylsalicylic Acid (AAS) is combined with oral antidiabetics, what interaction occurs?",Decreased absorption of the antidiabetic,Increased hypoglycemic effect,Increased hyperglycemic effect,Inhibition of AAS metabolism,Precipitation of acute renal failure,Option B,"AAS + Oral antidiabetics -> increased hypoglycemic effect"
"Which toxic metabolite is produced during saturated hepatic metabolism of Paracetamol, leading to acute hepatic necrosis?",N-acetylcysteine,Acetylsalicylic acid,N-acetylbenzoquinoneimide,Phenylephrine,Methyldopa,Option C,"Saturated hepatic metabolism -> acute hepatic necrosis (N-acetylbenzoquinoneimide)"
"What is the unique 'Characteristic adverse effect' explicitly listed for Anthranilic Acid Derivatives (e.g., Mefenamic acid)?",Constipation,Diarrhea,Agranulocytosis,Reye's syndrome,Tachycardia,Option B,"Characteristic adverse effect: diarrhea."
"According to the Corticosteroids Classification table, which of the following drugs possesses 'NONE' Mineralocorticoid activity?",Hydrocortisone,Prednisone,Prednisolone,Methylprednisolone,Fludrocortisone,Option D,"Methylprednisolone ... MINERALCORTICOID ACTIVITY: NONE"
"Identify the specific receptor target and clinical indication for Mirabegron.",Beta-1 antagonist for Hypertension,Alpha-2 agonist for Glaucoma,Beta-3 agonist for Overactive bladder,Muscarinic M3 antagonist for COPD,Alpha-1 antagonist for BPH,Option C,"Mirabegron ... Overactive bladder ... Beta 3"
"What is the strict maximum frequency recommended for Local Infiltration of corticosteroids to avoid complications?",Once a month,Twice a year,Maximum 3 times a year,Maximum 4 times a year,Every 8 weeks,Option C,"Maximum 3 times a year!"
"Which drug is a ganglionic blocker specifically indicated for 'Severe hypertension refractory to other treatments'?",Prazosin,Mecamylamine,Clonidine,Atenolol,Dobutamine,Option B,"Severe hypertension refractory to other treatments (Mecamylamine tablets)"
"What pharmacokinetic property allows Oxicams (Piroxicam, Meloxicam) to be administered in a single daily intake?",High protein binding,Enteric coating,Long half-life,Rapid absorption,High potency,Option C,"Long half-life, allow a single daily intake."
"How does the concurrent administration of Antacids affect the pharmacology of Acetylsalicylic Acid (AAS)?",Increases the toxicity of antacids,Enhances the ulcerogenic effect,Increases the absorption of AAS,Decreases the absorption of AAS,Precipitates renal failure,Option D,"AAS + antacids -> decrease the absorption of AAS"
"Which drug is indicated for Pheochromocytoma due to its ability to handle massive catecholamine release?",Propranolol,Phenoxybenzamine,Phentolamine,Tamsulosin,Carvedilol,Option B,"Pheochromocytoma, adrenal cancer: massive release of catecholamines (Phenoxybenzamine)"
"Which neuromuscular blocker is characterized as 'depolarizing (prolonged!)' in the general pharmacology tables?",Tubocurarine,Atracurium,Pancuronium,Succinylcholine,Mecamylamine,Option D,"Succinylcholine/Suxamethonium, and drugs with depolarizing (prolonged!)"
"Which sympathetic receptor is primarily responsible for pupil dilation (mydriasis)?",Alpha-1,Alpha-2,Beta-1,Beta-2,Muscarinic M3,Option A,"Sympathetic Alpha-1 receptors dilate pupil (mydriasis)."
"What is the specific therapeutic indication for using Bethanechol?",Glaucoma,Myasthenia Gravis,Urine retention after surgery,Asthma,Hypertension,Option C,"Bethanechol... Urine retention after surgery"
"Which drug combination is specifically mentioned for treating 'Status asthmaticus' (acute severe asthma)?",Salbutamol + Theophylline,Salbutamol + Ipratropium bromide,Salbutamol + Fluticasone,Adrenaline + Hydrocortisone,Formoterol + Budesonide,Option B,"Salbutamol 5â€“10 mg + ipratropium bromide 0.5 mg continuous nebulization."
"What is the antidote for Paracetamol intoxication?",N-acetylbenzoquinoneimide,Acetylcysteine,Atropine,Flumazenil,Naloxone,Option B,"Intoxication -> antidote N-acetylcysteine"
"Which NSAID derivative group includes Indomethacin?",Propionic acid derivatives,Salicylates,Acetic acid derivatives (Indolacetic),Oxicams,Pyrazolic derivatives,Option C,"Acetic Acid Derivatives -> Indolacetic: Indomethacin."
"What is the primary mechanism of action of Organophosphates (Parathion, Malathion)?",Direct activation of Muscarinic receptors,Direct activation of Nicotinic receptors,Irreversible inhibition of Acetylcholinesterase,Reversible inhibition of Acetylcholinesterase,Blockade of Muscarinic receptors,Option C,"Organophosphate inhibitors (Parathion; Malathion...)... Reduce acetylcholine degradation (Inhibitors of Acetylcholinesterase)"
"Which specific receptor does Prazosin block to treat hypertension?",Alpha-1,Alpha-2,Beta-1,Beta-2,Muscarinic M2,Option A,"Prazosin... Hypertension... Alpha-1 blocker"
"What is the recommended treatment for 'Acute attack of angina/myocardial infarction' if pain is NOT relieved by Nitroglycerin?",Codeine,Paracetamol,Aspirin 325 mg orally + Oxygen,Ibuprofen 400 mg,Tramadol,Option C,"If pain is not relieved, it could be MI. Give tablet aspirin 325 mg orally, oxygen by face mask..."
"Which adverse reaction is considered the 'most serious' for Metamizole (Nolotil)?",Gastric ulcer,Agranulocytosis,Hepatotoxicity,Nephrotoxicity,Bronchospasm,Option B,"Agranulocytosis (more serious adverse event)"
"Which corticoid is classified as having 'Short-Intermediate' duration of action?",Dexamethasone,Betamethasone,Prednisone,Paramethasone,Fludrocortisone,Option C,"Prednisone... Short-Intermediate"
"What is the clinical use of Pilocarpine mentioned in the tables?",Mydriasis for examination,Glaucoma (miosis - reduces IOP),Muscle relaxation,Hypertension,Asthma,Option B,"Glaucoma (miosis - reduces IOP), after surgery (Pilocarpine)"
"Which beta-blocker is indicated for Glaucoma when combined with Dorzolamide?",Atenolol,Propranolol,Timolol,Metoprolol,Carvedilol,Option C,"Glaucoma (Timolol + Dorzolamide a PG analog, drops)"
"What is the effect of sympathetic stimulation on the bladder?",Contraction of the detrusor muscle,Relaxation of the detrusor muscle,Relaxation of the sphincter,Increased urine output,None of the above,Option B,"Sympathetic... Relaxes bladder"
"Which drug is a specific M3 antagonist used for urinary incontinence?",Atropine,Scopolamine,Oxybutynin,Ipratropium,Pirenzepine,Option C,"Urinary incontinency, M3 specific (Tolterodin capsules, Oxybutynin tablets...)"
"What is the mechanism of action of Tubocurarine?",Depolarizing neuromuscular blocker,Nondepolarizing neuromuscular blocker (competitive antagonist),Acetylcholinesterase inhibitor,Muscarinic agonist,Ganglionic blocker,Option B,"Tubocurarine... nondepolarizing drugs"
"Which NSAID is noted for having a 'lower anti-inflammatory potency' but being 'better tolerated'?",Indomethacin,Piroxicam,Ibuprofen,Metamizole,Aspirin,Option C,"Ibuprofen... Lower anti-inflammatory potency compared to other NSAIDs, but better tolerated."